,exercise_name,muscle,equipment,imgs
15,['Palms-up wrist curl over bench'],['Forearms'],['Barbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-63e-palms-up-wrist-curl-over-bench-m1-square-600x600.jpg']
16,['Barbell Full Squat'],['Quadriceps'],['Barbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50b-barbell-back-squat-m1-square-600x600.jpg']
17,['Barbell deficit deadlift'],['Lower Back'],['Barbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-67e-barbell-deficit-deadlift-m1-square-600x600.jpg']
18,['Barbell Deadlift'],['Hamstrings'],['Barbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-07b-barbell-deadlift-m1-square-600x600.jpg']
19,['Single-arm palm-in dumbbell shoulder press'],['Shoulders'],['Dumbbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-106d-single-arm-palm-in-dumbbell-shoulder-press-m1-square-600x600.jpg']
20,['Romanian Deadlift With Dumbbells'],['Hamstrings'],['Dumbbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-9d-dumbbell-stiff-legged-deadlift-m1-square-600x600.jpg']
21,['Tire flip'],['Quadriceps'],['Other'],['https://www.bodybuilding.com/images/2020/xdb/cropped/2020-xdb-187s-tire-flip-m1-crop-600x600.jpg']
22,['Clean Deadlift'],['Hamstrings'],['Barbell'],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/671/Male/m/671_1.jpg']
23,['Elbow plank'],['Abdominals'],['Body Only'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-222a-elbow-plank-m1-square-600x600.jpg']
24,['Bottoms Up'],['Abdominals'],['Body Only'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-63a-lying-leg-lift-m1-square-600x600.jpg']
25,['Barbell back squat to box'],['Quadriceps'],['Barbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-72e-barbell-back-squat-to-box-m1-square-600x600.jpg']
26,['Clean and jerk'],['Shoulders'],['Barbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-26b-clean-and-jerk-m1-square-600x600.jpg']
27,['Single-arm kettlebell push-press'],['Shoulders'],['Kettlebells'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-67k-single-arm-kettlebell-push-press-m2-square-600x600.jpg']
28,['Push-press'],['Quadriceps'],['Barbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-39b-push-press-m1-square-600x600.jpg']
29,['Suspended ab fall-out'],['Abdominals'],['Other'],['https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-158s-suspended-ab-fall-out-m1-600x600.jpg']
30,['Military press'],['Shoulders'],['Barbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-41b-military-press-m1-square-600x600.jpg']
31,['Power snatch-'],['Quadriceps'],['Barbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-35b-power-snatch-m1-square-600x600.jpg']
32,['Sumo deadlift'],['Hamstrings'],['Barbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-58b-sumo-deadlift-m1-square-600x600.jpg']
33,['Hang Clean'],['Quadriceps'],['Barbell'],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/688/Male/m/688_1.jpg']
34,['Dumbbell V-Sit Cross Jab'],['Abdominals'],['Dumbbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-51d-dumbbell-v-sit-cross-jab-m1-square-600x600.jpg']
35,['Reverse Band Box Squat'],['Quadriceps'],[''],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/753/Male/m/753_1.jpg']
36,['Standing palms-in shoulder press'],['Shoulders'],['Dumbbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-92d-standing-palms-in-shoulder-press-m1-square-600x600.jpg']
37,['Standing cable low-to-high twist'],['Abdominals'],['Cable'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-58c-standing-cable-high-to-low-twist-m1-square-600x600.jpg']
38,['Decline EZ-bar skullcrusher'],['Triceps'],['E-Z Curl Bar'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-47n-decline-ez-bar-skullcrusher-m1-square-600x600.jpg']
39,['Standing behind-the-back wrist curl'],['Forearms'],['Barbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-14b-standing-behind-the-back-wrist-curl-m1-square-600x600.jpg']
40,['Seated finger curl'],['Forearms'],['Barbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-92s-seated-finger-curl-m1-square-600x600.jpg']
41,['Wide-grip barbell curl'],['Biceps'],['Barbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-22b-wide-grip-barbell-curl-m1-square-600x600.jpg']
42,['Dumbbell spell caster'],['Abdominals'],['Dumbbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-16d-dumbbell-spell-caster-m1-square-600x600.jpg']
43,['Dumbbell floor press'],['Triceps'],['Dumbbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-40d-dumbbell-floor-press-m1-600x600.jpg']
44,['Lying Face Down Plate Neck Resistance'],['Neck'],['Other'],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/25/Male/m/25_1.jpg']
45,['Pullups'],['Lats'],['Body Only'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-92c-pull-up-m1-square-600x600.jpg']
46,['Decline reverse crunch'],['Abdominals'],['Other'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-49n-decline-reverse-crunch-m1-square-600x600.jpg']
47,['Dumbbell Bench Press'],['Chest'],['Dumbbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-9e-dumbbell-bench-press-m1-square-600x600.jpg']
48,['Jumping rope'],['Quadriceps'],['Body Only'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-7s-jumping-rope-m1-square-600x600.jpg']
49,['Seated barbell shoulder press'],['Shoulders'],['Barbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-48e-seated-barbell-shoulder-press-m1-square-600x600.jpg']
50,['EZ-bar spider curl'],['Biceps'],['Barbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-18n-barbell-spider-curl-m1-square-600x600.jpg']
51,['Smith machine shrug'],['Traps'],['Machine'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-alt-14t-smith-machine-shrug-m1-square-600x600.jpg']
52,['Smith Machine Calf Raise'],['Calves'],['Machine'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-33t-smith-machine-standing-calf-raise-m1-square-600x600.jpg']
53,['Romanian Deadlift from Deficit'],['Hamstrings'],['Barbell'],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/751/Male/m/751_1.jpg']
54,['Power Snatch'],['Hamstrings'],['Barbell'],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/703/Male/m/703_1.jpg']
55,['Pushups'],['Chest'],['Body Only'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-102a-push-up-m1-square-600x600.jpg']
56,['Barbell walking lunge'],['Quadriceps'],['Barbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-45b-barbell-walking-lunge-m1-square-600x600.jpg']
57,['Front Squats With Two Kettlebells'],['Quadriceps'],['Kettlebells'],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/511/Male/m/511_1.jpg']
58,['Spider crawl'],['Abdominals'],['Body Only'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-197a-spider-crawl-m1-square-600x600.jpg']
59,['Power Clean from Blocks'],['Hamstrings'],['Barbell'],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/748/Male/m/748_1.jpg']
60,['Single Leg Push-off'],['Quadriceps'],['Other'],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/818/Male/m/818_1.jpg']
61,['Hip Circles (Prone)'],['Abductors'],[''],['https://www.bodybuilding.com/images/2020/may/874_1.jpg']
62,['Reverse-grip bent-over row'],['Middle Back'],['Barbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-02b-reverse-grip-bent-over-row-m1-square-600x600.jpg']
63,['Seated Two-Arm Palms-Up Low-Pulley Wrist Curl'],['Forearms'],['Cable'],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/7/Male/m/7_1.jpg']
64,['Back extension'],['Lower Back'],['Body Only'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-16m-back-extension-m1-square-600x600.jpg']
65,['Close-grip bench press'],['Chest'],['Barbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-82e-close-grip-bench-press-m1-square-600x600.jpg']
66,['Cocoons'],['Abdominals'],['Body Only'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-170a-cocoon-crunch-m1-square-600x600.jpg']
67,['Cross-Body Crunch'],['Abdominals'],['Body Only'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-176a-elbow-to-knee-crunch-m1-square-600x600.jpg']
68,['Dumbbell Flyes'],['Chest'],['Dumbbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-31e-dumbbell-chest-fly-m1-square-600x600.jpg']
69,['Hammer Curls'],['Biceps'],['Dumbbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-7d-hammer-curl-m1-square-600x600.jpg']
70,['Incline dumbbell bench press'],['Chest'],['Dumbbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-3n-incline-dumbbell-bench-press-m1-square-600x600.jpg']
71,['Low-cable cross-over'],['Chest'],['Cable'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-5c-low-cable-cross-over-m1-square-600x600.jpg']
72,['Single-arm high-cable side bend'],['Abdominals'],['Cable'],['https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-107c-single-arm-high-cable-side-bend-m1-600x600.jpg']
73,['Seated Dumbbell Press'],['Shoulders'],['Dumbbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50e-seated-dumbbell-shoulder-press-m1-square-600x600.jpg']
74,['Standing dumbbell shoulder press'],['Shoulders'],['Dumbbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-104d-standing-dumbbell-shoulder-press-m1-square-600x600.jpg']
75,['EZ-Bar Curl'],['Biceps'],['E-Z Curl Bar'],['https://www.bodybuilding.com/images/2020/xdb/cropped/2020-xdb-46s-standing-ez-bar-curl-m1-crop-600x600.jpg']
76,['Olympic Squat'],['Quadriceps'],['Barbell'],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/700/Male/m/700_1.jpg']
77,['Natural Glute Ham Raise'],['Hamstrings'],['Body Only'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-25m-glute-ham-raise-m1-square-600x600.jpg']
78,['Axle Deadlift'],['Lower Back'],['Other'],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/750/Male/m/750_1.jpg']
79,['Zottman Curl'],['Biceps'],[''],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/204/Male/m/204_1.jpg']
80,['Glute ham raise-'],['Hamstrings'],['None'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-25m-glute-ham-raise-m1-square-600x600.jpg']
81,['Single-arm lateral raise'],['Shoulders'],['Dumbbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-79d-single-arm-lateral-raise-m1-square-600x600.jpg']
82,['Power Partials'],['Shoulders'],['Dumbbell'],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/270/Male/m/270_1.jpg']
83,['Leverage Shrug'],['Traps'],['Machine'],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/898/Male/m/898_1.jpg']
84,['Cable V-bar push-down'],['Triceps'],['Cable'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-17c-cable-v-bar-push-down-m1-square-600x600.jpg']
85,['Wrist Roller'],['Forearms'],['Other'],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/142/Male/m/142_1.jpg']
86,['Incline dumbbell reverse fly'],['Shoulders'],['Dumbbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/2020-xdb-13n-incline-dumbbell-reverse-fly-m1-crop-600x600.jpg']
87,['Stair climber'],['Quadriceps'],['Machine'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-51m-stair-climber-m1-square-600x600.jpg']
88,['Elbow-to-knee crunch'],['Abdominals'],['Body Only'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-176a-elbow-to-knee-crunch-m1-square-600x600.jpg']
89,['Kettlebell Pistol Squat'],['Quadriceps'],['Kettlebells'],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/521/Male/m/521_1.jpg']
90,['Overhead dumbbell front raise'],['Shoulders'],['Dumbbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-17d-overhead-dumbbell-front-raise-m1-square-600x600.jpg']
91,['Biceps curl to shoulder press'],['Biceps'],['Dumbbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-63d-biceps-curl-to-shoulder-press-m2-square-600x600.jpg']
92,['Weighted bench dip'],['Triceps'],['Body Only'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-37e-weighted-bench-dip-m1-square-600x600.jpg']
93,['Barbell Hip Thrust'],['Glutes'],['Barbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-24e-barbell-hip-thrust-m1-square-600x600.jpg']
94,['Forward lunge'],['Quadriceps'],['Body Only'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-15a-forward-lunge-m1-square-600x600.jpg']
95,['Barbell Bench Press - Medium Grip'],['Chest'],['Barbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-81e-bench-press-m1-square-600x600.jpg']
96,['Chest dip'],['Chest'],['Other'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-2m-chest-dip-m1-square-600x600.jpg']
97,['Seated dumbbell shoulder press'],['Shoulders'],['Dumbbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50e-seated-dumbbell-shoulder-press-m1-square-600x600.jpg']
98,['Barbell Curl'],['Biceps'],['Barbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-19b-barbell-curl-m1-square-600x600.jpg']
99,['EZ-Bar Skullcrusher'],['Triceps'],['E-Z Curl Bar'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-94s-ez-bar-skullcrusher-m1-square-600x600.jpg']
100,['One-Arm Dumbbell Row'],['Middle Back'],['Dumbbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-13e-single-arm-bench-dumbbell-row-m1-square-600x600.jpg']
101,['Alternating standing shoulder press'],['Shoulders'],['Dumbbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-93d-alternating-standing-shoulder-press-m1-square-600x600.jpg']
102,['Concentration curl'],['Biceps'],['Dumbbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-8e-concentration-curl-m1-square-600x600.jpg']
103,['Decline Crunch'],['Abdominals'],['Body Only'],['https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-50n-decline-crunch-m1-crop-600x600.jpg']
104,['Decline Dumbbell Flyes'],['Chest'],['Dumbbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-31n-decline-dumbbell-chest-fly-m1-square-600x600.jpg']
105,['Single-arm incline rear delt raise'],['Shoulders'],['Dumbbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-14n-single-arm-incline-rear-delt-raise-m1-square-600x600.jpg']
106,['Alternating dumbbell front raise'],['Shoulders'],['Dumbbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-14d-alternating-dumbbell-front-raise-m1-square-600x600.jpg']
107,['Hanging toes-to-bar'],['Abdominals'],['Body Only'],['https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-128c-hanging-toes-to-bar-m1-600x600.jpg']
108,['Narrow-stance squat'],['Quadriceps'],['Barbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-30a-narrow-stance-squat-m1-square-600x600.jpg']
109,['Kneeling cable oblique crunch'],['Abdominals'],['Cable'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-36c-kneeling-cable-oblique-crunch-m1-square-600x600.jpg']
110,['Reverse Grip Triceps Pushdown'],['Triceps'],['Cable'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-19c-reverse-grip-cable-straight-bar-push-down-m1-square-600x600.jpg']
111,['Bear crawl sled drag'],['Quadriceps'],['Other'],['https://www.bodybuilding.com/images/2020/xdb/cropped/2020-xdb-153s-bear-crawl-sled-drag-m1-crop-600x600.jpg']
112,['Rocky Pull-Ups/Pulldowns'],['Lats'],['Other'],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/279/Male/m/279_1.jpg']
113,['Snatch-Grip Behind-The-Neck Overhead Press'],['Shoulders'],['Barbell'],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/4571/Male/m/4571_1.jpg']
114,['Box Squat with Bands'],['Quadriceps'],['Barbell'],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/666/Male/m/666_1.jpg']
115,['Flexor Incline Dumbbell Curls'],['Biceps'],['Dumbbell'],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/285/Male/m/285_1.jpg']
116,['Seated One-Arm Dumbbell Palms-Up Wrist Curl'],['Forearms'],['Dumbbell'],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/386/Male/m/386_1.jpg']
117,['Thigh adductor'],['Adductors'],['Machine'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-74m-thigh-adductor-m1-square-600x600.jpg']
118,['Machine Bicep Curl'],['Biceps'],['Machine'],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/899/Male/m/899_1.jpg']
119,['Seated Palms-Down Barbell Wrist Curl'],['Forearms'],[''],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/389/Male/m/389_1.jpg']
120,['Car driver'],['Shoulders'],['Other'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-43s-car-driver-m2-square-600x600.jpg']
121,['Alternating Deltoid Raise'],['Shoulders'],['Dumbbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-61d-dumbbell-front-raise-to-lateral-raise-m2-square-600x600.jpg']
122,['Hanging Oblique Knee Raise'],['Abdominals'],['Body Only'],['https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-120c-hanging-oblique-crunch-m1-600x600.jpg']
123,['Bodyweight Flyes'],['Chest'],['E-Z Curl Bar'],['https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-182s-double-bar-roll-out-chest-fly-m1-600x600.jpg']
124,['Standing Calf Raises'],['Calves'],['Machine'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-117s-standing-calf-raise-m1-square-600x600.jpg']
125,['Push-Ups - Close Triceps Position'],['Triceps'],['Body Only'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-104a-close-push-up-m1-square-600x600.jpg']
126,['One-Arm Long Bar Row'],['Middle Back'],['Barbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-124s-single-arm-landmine-bent-over-row-m1-square-600x600.jpg']
127,['Overhead cable curl'],['Biceps'],['Cable'],['https://www.bodybuilding.com/images/2020/xdb/cropped/2020-xdb-136c-overhead-cable-curl-m1-600x600.jpg']
128,['Single-dumbbell front raise'],['Shoulders'],['Dumbbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-18d-single-dumbbell-front-raise-m1-square-600x600.jpg']
129,['Incline cable chest fly'],['Chest'],['Cable'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-10c-incline-cable-chest-fly-m1-square-600x600.jpg']
130,['Single-leg depth squat'],['Quadriceps'],['Bands'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-68e-single-leg-depth-squat-m1-square-600x600.jpg']
131,['Dumbbell suitcase crunch'],['Abdominals'],['Medicine Ball'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50d-dumbbell-suitcase-crunch-m1-square-600x600.jpg']
132,['Plate Twist'],['Abdominals'],['Other'],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/106/Male/m/106_1.jpg']
133,['Single-leg cable hip extension'],['Glutes'],['Cable'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-43c-single-leg-cable-hip-extension-m1-square-600x600.jpg']
134,['Weighted Jump Squat'],['Quadriceps'],['Barbell'],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/887/Male/m/887_1.jpg']
135,['Squat with Chains'],['Quadriceps'],['Barbell'],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/705/Male/m/705_1.jpg']
136,['Gorilla Chin/Crunch'],['Abdominals'],['Body Only'],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/183/Male/m/183_1.jpg']
137,['Kneeling cable triceps extension'],['Triceps'],['Cable'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-89c-kneeling-cable-triceps-extension-m1-square-600x600.jpg']
138,['Kneeling Cable Crunch With Alternating Oblique Twists'],['Abdominals'],['Cables'],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/937/Male/m/937_1.jpg']
139,['Bicycling'],['Quadriceps'],['Other'],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/646/Male/m/646_1.jpg']
140,['Arnold press'],['Shoulders'],['Dumbbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-1e-arnold-press-m1-square-600x600.jpg']
141,['Weighted Crunches'],['Abdominals'],['Other'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50d-dumbbell-suitcase-crunch-m1-square-600x600.jpg']
142,['Single-arm cable triceps extension'],['Triceps'],['Cable'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-31c-single-arm-cable-triceps-extension-m1-square-600x600.jpg']
143,['Barbell roll-out'],['Abdominals'],['Barbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-48b-barbell-roll-out-m1-square-600x600.jpg']
144,['Kneeling cable crunch'],['Abdominals'],['Cable'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-35c-kneeling-cable-crunch-m1-square-600x600.jpg']
145,['Exercise Ball Pull-In'],['Abdominals'],['Exercise Ball'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-22s-exercise-ball-knee-roll-in-m1-square-600x600.jpg']
146,['Hanging leg raise'],['Abdominals'],['Body Only'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-9m-hanging-leg-raise-m1-square-600x600.jpg']
147,['Barbell Ab Rollout - On Knees'],['Abdominals'],['Barbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-48b-barbell-roll-out-m1-square-600x600.jpg']
148,['Barbell Squat'],['Quadriceps'],['Barbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50b-barbell-back-squat-m1-square-600x600.jpg']
149,['Decline barbell bench press'],['Chest'],['Barbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-34n-decline-barbell-bench-press-m1-square-600x600.jpg']
150,['Squat with Chains'],['Quadriceps'],['Barbell'],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/705/Male/m/705_1.jpg']
151,['Gorilla Chin/Crunch'],['Abdominals'],['Body Only'],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/183/Male/m/183_1.jpg']
152,['Kneeling cable triceps extension'],['Triceps'],['Cable'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-89c-kneeling-cable-triceps-extension-m1-square-600x600.jpg']
153,['Kneeling Cable Crunch With Alternating Oblique Twists'],['Abdominals'],['Cables'],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/937/Male/m/937_1.jpg']
154,['Bicycling'],['Quadriceps'],['Other'],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/646/Male/m/646_1.jpg']
155,['Arnold press'],['Shoulders'],['Dumbbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-1e-arnold-press-m1-square-600x600.jpg']
156,['Weighted Crunches'],['Abdominals'],['Other'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50d-dumbbell-suitcase-crunch-m1-square-600x600.jpg']
157,['Single-arm cable triceps extension'],['Triceps'],['Cable'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-31c-single-arm-cable-triceps-extension-m1-square-600x600.jpg']
158,['Barbell roll-out'],['Abdominals'],['Barbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-48b-barbell-roll-out-m1-square-600x600.jpg']
159,['Kneeling cable crunch'],['Abdominals'],['Cable'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-35c-kneeling-cable-crunch-m1-square-600x600.jpg']
160,['Exercise Ball Pull-In'],['Abdominals'],['Exercise Ball'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-22s-exercise-ball-knee-roll-in-m1-square-600x600.jpg']
